Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Cancel""))",Chrome 99.0.4844.82,,,2022-03-24 15:44:01,2022-03-24 15:44:01,0.453s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:44:01,2022-03-24 15:44:02,1.014s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_No(Cancel)""))",Chrome 99.0.4844.82,,,2022-03-24 15:44:02,2022-03-24 15:44:02,0.450s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:44:02,2022-03-24 15:44:04,2.005s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1786-S7 (User should be able to select Yes option on Cancel process),Chrome 99.0.4844.82,User should be able to select Yes option on Cancel process,,2022-03-24 15:44:04,2022-03-24 15:44:09,4.336s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Cancel""))",Chrome 99.0.4844.82,,,2022-03-24 15:44:05,2022-03-24 15:44:05,0.425s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:44:05,2022-03-24 15:44:07,2.012s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/button_Yes(Cancel)""))",Chrome 99.0.4844.82,,,2022-03-24 15:44:07,2022-03-24 15:44:08,0.536s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:44:08,2022-03-24 15:44:09,1.009s,PASSED
